Name,player_Id,HR,ISO,BB/K,CSW%,SwStr%,wRC+,Barrel%,HardHit%,FB%+,GB%+,Swing%,O-Swing%,Z-Contact%,NameASCII
Shohei Ohtani,660271,44,0.350100604,0.636363636,0.2644912,0.1391155,179.5836588,0.19337017,0.53314917,104.0480175,100.4269329,0.48017241,0.33309659,0.81395349,Shohei Ohtani
Matt Chapman,656305,17,0.184675835,0.375757575,0.29433347,0.11699959,110.0432864,0.17052023,0.56069364,130.1975838,83.03300194,0.43329253,0.22516556,0.78306878,Matt Chapman
Jake Burger,669394,34,0.268292682,0.2147651,0.3011225,0.17130307,120.4582366,0.16714697,0.49279539,102.8448586,101.112542,0.54030288,0.41264559,0.82622951,Jake Burger
Marcell Ozuna,542303,40,0.284905661,0.425373134,0.2660473,0.12162162,139.1033001,0.16582915,0.48994975,110.0360679,92.5040763,0.4845666,0.32503556,0.85050798,Marcell Ozuna
Matt Olson,621566,54,0.320723685,0.622754491,0.24935401,0.11886305,160.4274152,0.16404494,0.5505618,117.8541391,90.06484201,0.46845681,0.29465241,0.77703456,Matt Olson
Kyle Schwarber,656941,47,0.276923077,0.586046511,0.3143508,0.11161731,119.3010217,0.16353887,0.48525469,133.7143457,80.1777539,0.37548892,0.24124726,0.80168776,Kyle Schwarber
Adolis García,666969,39,0.263063063,0.371428571,0.28499025,0.14424951,124.1081207,0.16062176,0.49740933,123.5304955,87.3458967,0.48594848,0.32956685,0.78888889,Adolis Garcia
Jack Suwinski,669261,26,0.230425056,0.436046511,0.30371991,0.10897155,112.4879127,0.15658363,0.4341637,144.8226027,64.91176635,0.38930294,0.22004521,0.81375839,Jack Suwinski
Brent Rooker,667670,30,0.241900648,0.28488372,0.3285316,0.16217472,127.0640814,0.1559322,0.49491525,124.1296975,79.68097635,0.46143123,0.31965272,0.78571429,Brent Rooker
Ronald Acuña Jr.,660670,41,0.258164853,0.952380952,0.21441377,0.07780567,170.3757673,0.15302491,0.55160142,82.25511523,115.2644378,0.46189792,0.26786824,0.87822014,Ronald Acuna Jr.
Luis Robert Jr.,673357,38,0.278388279,0.174418604,0.29064487,0.18256131,128.272228,0.15223097,0.41732283,115.6056373,86.51156945,0.58045455,0.43302892,0.81920904,Luis Robert Jr.
Bryce Harper,547180,21,0.205689278,0.672268907,0.2512364,0.15974283,142.1797052,0.15204678,0.46783626,82.38035221,104.0991309,0.51188119,0.36629213,0.83119266,Bryce Harper
Corey Seager,608369,33,0.295597484,0.556818181,0.20032485,0.1256091,168.7662727,0.15189873,0.53164557,104.7093514,94.97328504,0.55146262,0.33611111,0.89465649,Corey Seager
Jorge Soler,624585,36,0.261904761,0.468085106,0.27296248,0.11039241,126.4722196,0.14986376,0.47956403,125.2235402,83.17486161,0.44146868,0.29236111,0.85357737,Jorge Soler
Pete Alonso,624413,46,0.286971831,0.430463576,0.28416149,0.10287267,121.4531762,0.14726841,0.39904988,129.0675548,85.23647503,0.43686672,0.30155642,0.84603659,Pete Alonso
Max Muncy,571970,36,0.263485477,0.555555555,0.30790847,0.10999599,118.294514,0.14626866,0.45970149,133.1503333,77.90405647,0.39235412,0.26043738,0.81443299,Max Muncy
Spencer Torkelson,679529,31,0.212871287,0.391812865,0.26914894,0.10319149,106.512634,0.14090909,0.50454545,123.3381577,82.02238243,0.46296296,0.27721519,0.8549884,Spencer Torkelson
Austin Riley,663586,37,0.23427673,0.343023255,0.27348935,0.12364652,126.8875887,0.13894737,0.48842105,108.7033376,96.15000638,0.48164977,0.31024096,0.83082271,Austin Riley
Teoscar Hernández,606192,26,0.1776,0.180094786,0.31813084,0.17757009,104.705412,0.13776722,0.49406176,98.24274071,102.6433366,0.53647587,0.38461538,0.79136691,Teoscar Hernandez
Triston Casas,671213,24,0.226107226,0.555555555,0.2653753,0.10992736,129.4460481,0.13114754,0.46229508,111.4224705,87.18858936,0.43598448,0.25971878,0.8034188,Triston Casas
Juan Soto,665742,35,0.24471831,1.023255813,0.26134801,0.06292985,155.0684105,0.13033708,0.55280899,87.65981877,118.886019,0.35692095,0.19954649,0.89882698,Juan Soto
Rafael Devers,646240,33,0.229310345,0.492063492,0.23005422,0.12587142,123.8117658,0.12691466,0.54704595,103.4120389,101.5339394,0.52462195,0.36050157,0.79820051,Rafael Devers
Eugenio Suárez,553993,22,0.158862876,0.327102803,0.29755762,0.13175095,102.4791718,0.12658228,0.43037975,114.0464911,80.54696318,0.44540131,0.26420798,0.80373832,Eugenio Suarez
Cal Raleigh,663728,30,0.22417154,0.341772151,0.27133106,0.13950512,111.4132295,0.12640449,0.40730337,128.0203524,74.69808922,0.49721866,0.345,0.80559647,Cal Raleigh
Mookie Betts,605141,39,0.272260274,0.897196261,0.26224678,0.05745856,166.7193558,0.12448133,0.4813278,131.241728,64.78054771,0.38104021,0.2,0.93880389,Mookie Betts
Willy Adames,642715,24,0.189873418,0.43030303,0.27831094,0.14165067,93.66388999,0.12373737,0.36111111,120.7590163,83.98060109,0.49922958,0.35559678,0.83495146,Willy Adames
Randy Arozarena,668227,23,0.170598911,0.512820512,0.30473704,0.11861246,125.8467747,0.1225,0.48,102.5962623,102.0127621,0.43038447,0.29969419,0.78883861,Randy Arozarena
Paul Goldschmidt,502671,25,0.178752108,0.54037267,0.29438596,0.10807018,122.2094194,0.11926606,0.50688073,100.6766784,95.88499054,0.43940991,0.29123237,0.79768041,Paul Goldschmidt
Josh Jung,673962,23,0.20083682,0.198675496,0.28665319,0.13700708,110.2566001,0.11854103,0.47112462,103.2943876,86.60177959,0.51898734,0.36127917,0.84019769,Josh Jung
Julio Rodríguez,677594,32,0.209480123,0.268571428,0.27193331,0.1441048,126.1615621,0.11850312,0.51975052,89.27409169,113.0399286,0.5384309,0.40972685,0.85074627,Julio Rodriguez
Trent Grisham,663757,13,0.153518123,0.487012987,0.29180887,0.10196246,90.69045738,0.11838006,0.39875389,115.7318752,82.24115199,0.41008116,0.24324324,0.82015504,Trent Grisham
Bobby Witt Jr.,677951,30,0.218408736,0.330578512,0.25498891,0.10532151,114.8131375,0.11531191,0.4536862,114.6918745,90.27878785,0.50444444,0.34384858,0.86168911,Bobby Witt Jr.
MJ Melendez,669004,16,0.163227017,0.364705882,0.30630631,0.14946765,91.84899341,0.11444142,0.49591281,114.8515422,85.39832157,0.47786885,0.29808375,0.76809651,MJ Melendez
Ryan McMahon,641857,23,0.190990991,0.343434343,0.29675538,0.14181553,88.0163808,0.11388889,0.44166667,90.61525973,100.8870742,0.47228301,0.3011734,0.76230492,Ryan McMahon
Gunnar Henderson,683002,28,0.233928572,0.352201257,0.2813278,0.11369295,122.9944128,0.11386139,0.51732673,94.55174542,106.9624867,0.46777547,0.28984433,0.82697548,Gunnar Henderson
Christian Walker,572233,33,0.238831615,0.488188976,0.25757009,0.1188785,120.2403565,0.11206897,0.40086207,121.446629,89.07977902,0.48521153,0.30384615,0.85158151,Christian Walker
J.T. Realmuto,592663,20,0.200408998,0.253623188,0.26882745,0.12154433,101.8002647,0.11173184,0.4273743,114.6647874,87.70849452,0.50333969,0.3411176,0.83436533,J.T. Realmuto
Freddie Freeman,518692,29,0.235478807,0.595041322,0.20834846,0.09401089,162.7575069,0.11132438,0.4184261,100.1434862,82.29376947,0.50999636,0.30082331,0.88038793,Freddie Freeman
James Outman,681546,23,0.188405798,0.375690607,0.3106961,0.15322581,118.3282553,0.11111111,0.39542484,111.1576995,87.38122411,0.45937899,0.28077754,0.78405797,James Outman
Bryan Reynolds,668804,24,0.196864111,0.384057971,0.26167854,0.12470309,110.0545702,0.11085973,0.47058824,89.29635002,100.1655057,0.47385103,0.30231065,0.85793103,Bryan Reynolds
Vladimir Guerrero Jr.,665489,26,0.179401993,0.67,0.23589534,0.10752249,117.9207301,0.11067194,0.49209486,93.19345795,109.8011297,0.50553052,0.32456747,0.87320261,Vladimir Guerrero Jr.
Brandon Drury,592273,26,0.235051546,0.183823529,0.29755849,0.14445575,114.1582763,0.11016949,0.46327684,101.2088659,100.6072933,0.51655629,0.3826087,0.83972125,Brandon Drury
Fernando Tatis Jr.,665487,25,0.191304348,0.375886524,0.24647587,0.15335327,112.7433936,0.10958904,0.48858447,90.93666407,109.8430643,0.54047109,0.35683761,0.80289093,Fernando Tatis Jr.
Dansby Swanson,621020,22,0.171681416,0.428571428,0.275,0.12734375,103.7239658,0.10895884,0.39467312,94.91198826,103.81369,0.47360188,0.28368314,0.79292929,Dansby Swanson
Seiya Suzuki,673548,20,0.2,0.453846153,0.28279526,0.07846342,126.3985724,0.10459184,0.47959184,93.10024471,100.458686,0.4091653,0.2353812,0.86510264,Seiya Suzuki
Manny Machado,592518,30,0.20441989,0.458715596,0.25699301,0.11013986,114.1913657,0.10454545,0.45909091,120.4221885,93.73622216,0.49255692,0.31990881,0.859375,Manny Machado
Kyle Tucker,663656,29,0.233449477,0.869565217,0.20776699,0.07495146,139.7276632,0.10420842,0.44488978,111.9087631,91.20909985,0.46536965,0.25915688,0.90377588,Kyle Tucker
Francisco Lindor,596019,31,0.215946844,0.481751824,0.24745269,0.09898108,121.3304855,0.10381356,0.43855932,123.7128674,79.48235618,0.48048158,0.30540037,0.87272727,Francisco Lindor
Nick Castellanos,592206,29,0.204472843,0.194594594,0.30086313,0.18742293,108.9246062,0.10290828,0.4295302,99.788281,95.91734653,0.56242274,0.42799732,0.815427,Nick Castellanos
Anthony Santander,623993,28,0.214890017,0.361842105,0.26382364,0.10444525,119.3049637,0.10158014,0.46049661,130.828351,83.07482603,0.49058653,0.37696335,0.85855728,Anthony Santander
Michael Harris II,671739,18,0.184158416,0.247524752,0.27430911,0.11617195,114.8161669,0.1004902,0.48529412,82.76939531,109.8917781,0.52712385,0.41600704,0.86175943,Michael Harris II
Josh Bell,605137,22,0.171846435,0.470149253,0.24547697,0.10896382,104.5897239,0.10047847,0.42583732,90.83605029,113.9675384,0.47611203,0.31132075,0.86743516,Josh Bell
Bo Bichette,666182,20,0.168126095,0.234782608,0.21704036,0.10269058,124.6460178,0.09628009,0.44857768,69.90422748,109.3442425,0.56564748,0.40775194,0.90710383,Bo Bichette
Lane Thomas,657041,28,0.200636943,0.204545454,0.28984405,0.09014835,108.6394448,0.09586057,0.40522876,100.7132348,102.5476092,0.43602437,0.30609598,0.897474,Lane Thomas
Carlos Correa,621043,18,0.1692607,0.450381679,0.291722,0.09871625,96.2228275,0.09585492,0.45854922,89.40604914,108.8748149,0.43642003,0.30096368,0.86873921,Carlos Correa
Brandon Nimmo,607043,24,0.192567568,0.506849315,0.28215913,0.0809674,130.2082339,0.09534368,0.4767184,105.9667091,95.49009778,0.4229013,0.24023062,0.88057901,Brandon Nimmo
J.D. Davis,605204,18,0.164583334,0.342105263,0.27121068,0.16539561,104.2294617,0.0952381,0.44345238,74.46367746,122.787189,0.52986144,0.30336134,0.78208556,J.D. Davis
Eddie Rosario,592696,21,0.194560669,0.278688524,0.28190377,0.15742678,99.75908354,0.09470752,0.35097493,102.2277196,93.33718054,0.57127883,0.4592721,0.79821429,Eddie Rosario
Yandy Díaz,650490,22,0.192380952,0.691489361,0.25127119,0.07033898,164.071167,0.09468822,0.5404157,75.44260928,123.3775352,0.42572156,0.22771536,0.90128755,Yandy Diaz
William Contreras,661388,17,0.168518519,0.5,0.29797771,0.1110194,124.4307446,0.09352518,0.48441247,77.98140145,128.2711558,0.4315833,0.27928571,0.81623277,William Contreras
Christian Yelich,592885,19,0.169090909,0.557142857,0.26383476,0.10872954,121.8388941,0.09245742,0.49878345,61.97936419,133.5582936,0.45017585,0.28020901,0.85338866,Christian Yelich
LaMonte Wade Jr.,664774,17,0.160839161,0.8,0.26520913,0.07652091,121.5967693,0.09064327,0.39766082,111.6955163,88.60211923,0.39029034,0.20647773,0.8920354,LaMonte Wade Jr.
Anthony Volpe,683011,21,0.17375231,0.311377245,0.29567822,0.12451861,84.28730186,0.09018568,0.4270557,97.72801072,97.65398246,0.47623126,0.32011967,0.83918129,Anthony Volpe
Ian Happ,664023,21,0.18275862,0.647058823,0.25549738,0.10157068,117.555034,0.09006928,0.39030023,100.1242686,97.09024885,0.44370629,0.2676311,0.84484848,Ian Happ
Austin Hays,669720,16,0.169230769,0.269503546,0.30461394,0.12288136,112.0779024,0.08854167,0.40104167,100.162359,106.9686087,0.46465598,0.3354531,0.86702128,Austin Hays
Bryan De La Cruz,650559,19,0.153713299,0.28169014,0.29230769,0.1340081,91.62168572,0.08803612,0.42437923,96.63577598,95.42082381,0.50020268,0.35804943,0.80515759,Bryan De La Cruz
Lars Nootbaar,663457,14,0.157276995,0.727272727,0.29451396,0.05774783,118.2123881,0.08761329,0.3776435,84.89194848,115.7978822,0.35342334,0.20429185,0.89090909,Lars Nootbaar
Salvador Perez,521692,23,0.167286245,0.14074074,0.26721629,0.16973812,86.22312576,0.08716707,0.43583535,107.6838001,86.07676062,0.60097087,0.49531981,0.83913765,Salvador Perez
José Abreu,547989,18,0.146296296,0.323076923,0.29088639,0.12109863,86.48843344,0.08653846,0.41586538,95.62391703,106.7307949,0.50166667,0.38896747,0.85626911,Jose Abreu
Lourdes Gurriel Jr.,666971,24,0.201451906,0.320388349,0.24932493,0.08055806,105.6948867,0.08444444,0.46,96.11929779,100.4560443,0.49029345,0.33438238,0.92284418,Lourdes Gurriel Jr.
Andrew Vaughn,683734,21,0.171378091,0.279069767,0.28041415,0.10396894,102.8043718,0.08428246,0.46469248,94.81465715,105.4657776,0.47475183,0.34928571,0.89361702,Andrew Vaughn
Trea Turner,607208,26,0.192488263,0.3,0.27439252,0.14915888,107.9498427,0.08367347,0.42244898,106.4790947,92.25555081,0.53121495,0.38292683,0.84615385,Trea Turner
Ozzie Albies,645277,33,0.233221476,0.429906542,0.19937816,0.10027206,123.9674936,0.08216433,0.38877756,114.7702128,88.14309914,0.54588052,0.38800255,0.90632911,Ozzie Albies
Ezequiel Tovar,678662,15,0.154905335,0.150602409,0.28054101,0.17059337,70.28013735,0.08095238,0.35714286,91.40841497,99.46511836,0.59344978,0.45402299,0.84731774,Ezequiel Tovar
Ketel Marte,606466,25,0.20913884,0.651376146,0.24196141,0.085209,126.7970027,0.07956989,0.42795699,97.88010391,104.4557162,0.45428917,0.27700831,0.89010989,Ketel Marte
Gleyber Torres,650402,25,0.179530202,0.683673469,0.24604371,0.08967596,122.5895868,0.07936508,0.40277778,104.4316817,93.17598163,0.4673215,0.29483871,0.87820513,Gleyber Torres
Jeimer Candelario,600869,22,0.21980198,0.417322834,0.2593068,0.10183997,116.9956835,0.07832898,0.36292428,109.6911163,93.3286372,0.47278183,0.31968391,0.87234043,Jeimer Candelario
George Springer,543807,21,0.146818923,0.48,0.23728814,0.09814742,104.0368154,0.07707911,0.39350913,93.35781282,104.9348413,0.49208861,0.27519657,0.87427241,George Springer
Jonathan India,663697,17,0.162995594,0.47706422,0.29528986,0.07835145,99.43709231,0.07670455,0.38636364,106.7518124,90.69111885,0.38548753,0.22222222,0.87804878,Jonathan India
Zach McKinstry,656716,9,0.120689655,0.38938053,0.24988191,0.08455361,81.04459909,0.0758427,0.33146067,113.4362327,83.40430118,0.47014218,0.30546358,0.90850722,Zach McKinstry
Corbin Carroll,682998,25,0.221238938,0.456,0.25647349,0.08877928,133.1340376,0.07555556,0.40888889,100.2159156,102.3780015,0.45514403,0.30538085,0.88490284,Corbin Carroll
Tyler Stephenson,663886,13,0.135483871,0.348148148,0.3003413,0.10921502,84.55400357,0.0755287,0.43202417,77.58874586,113.3403993,0.42557345,0.27464195,0.84981685,Tyler Stephenson
