Name,Age,Team,Games,WAR,oWAR,dWAR,Salary,player_id
Matt Olson,29,ATL,162,7.4,6.6,0.0,"$21,000,000",621566
Marcus Semien,32,TEX,162,7.4,5.7,2.3,"$26,000,000",543760
Juan Soto,24,SDP,162,5.5,6.1,-1.2,"$23,000,000",665742
Eugenio Suárez,31,SEA,162,2.3,2.5,0.3,"$11,285,715",553993
Alex Bregman,29,HOU,161,4.9,4.3,1.0,"$30,500,000",608324
Freddie Freeman,33,LAD,161,6.5,7.5,-1.7,"$27,000,000",518692
Nathaniel Lowe,27,TEX,161,2.6,2.2,-0.4,"$4,050,000",663993
Teoscar Hernández,30,SEA,160,2.1,2.0,-0.6,"$14,000,000",606192
Francisco Lindor,29,NYM,160,6.0,5.3,1.6,"$34,100,000",596019
Kyle Schwarber,30,PHI,160,0.6,2.8,-2.9,"$20,000,000",656941
Ronald Acuña Jr.,25,ATL,159,8.2,8.5,-0.7,"$17,000,000",660670
Austin Riley,26,ATL,159,5.9,5.0,1.3,"$15,000,000",663586
Spencer Torkelson,23,DET,159,0.8,1.9,-1.9,"$723,100",679529
Anthony Volpe,22,NYY,159,3.3,1.7,2.5,"$720,000",683011
Ty France,28,SEA,158,0.7,1.3,-1.4,"$4,100,000",664034
Ian Happ,28,CHC,158,3.0,2.9,-0.4,"$10,850,000",664023
Steven Kwan,25,CLE,158,3.6,1.9,1.2,"$727,300",680757
Gleyber Torres,26,NYY,158,2.9,3.3,0.0,"$9,950,000",650402
Daulton Varsho,26,TOR,158,3.9,0.8,2.8,"$3,050,000",662139
Bobby Witt Jr.,23,KCR,158,4.4,4.9,0.3,"$745,750",677951
Nick Castellanos,31,PHI,157,1.5,2.5,-1.5,"$20,000,000",592206
Kyle Tucker,26,HOU,157,5.4,5.3,-0.4,"$5,000,000",663656
Christian Walker,32,ARI,157,3.8,2.9,0.1,"$6,500,000",572233
Vladimir Guerrero Jr.,24,TOR,156,2.0,2.6,-1.5,"$14,500,000",665489
Jeff McNeil,31,NYM,156,2.4,2.4,0.1,"$6,250,000",643446
José Ramírez,30,CLE,156,5.1,5.0,0.2,"$14,000,000",608070
Spencer Steer,25,CIN,156,2.9,3.5,-1.0,"$720,000",668715
Lane Thomas,27,WSN,156,3.3,3.2,-0.4,"$2,200,000",657041
Xander Bogaerts,30,SDP,155,4.4,4.8,0.4,"$25,454,545",593428
Corbin Carroll,22,ARI,155,5.4,5.8,-0.7,"$1,625,000",682998
Julio Rodríguez,22,SEA,155,5.3,5.8,0.0,"$6,185,715",677594
Trea Turner,30,PHI,155,3.4,4.6,-0.3,"$27,272,727",607208
Pete Alonso,28,NYM,154,3.2,2.6,-0.2,"$14,500,000",624413
Paul Goldschmidt,35,STL,154,3.4,3.1,-0.6,"$26,000,000",502671
Joey Meneses,31,WSN,154,0.5,0.6,-1.3,"$723,300",608841
Adley Rutschman,25,BAL,154,4.3,4.6,0.2,"$733,900",668939
George Springer,33,TOR,154,2.1,1.9,-0.4,"$24,166,667",
Bryan De La Cruz,26,MIA,153,-0.3,0.5,-1.4,"$736,000",650559
Rafael Devers,26,BOS,153,3.5,4.4,-0.5,"$17,500,000",646240
Andrés Giménez,24,CLE,153,5.3,3.0,2.9,"$1,571,429",665926
Trent Grisham,26,SDP,153,2.0,1.9,0.5,"$3,175,000",663757
Anthony Santander,28,BAL,153,3.0,2.8,-0.6,"$7,400,000",623993
Dominic Smith,28,WSN,153,0.9,0.4,-0.2,"$2,000,000",642086
Ezequiel Tovar,21,COL,153,2.5,1.2,2.2,"$722,000",678662
Mookie Betts,30,LAD,152,8.3,7.5,0.8,"$25,416,667",605141
Ha-Seong Kim,27,SDP,152,5.8,4.2,2.1,"$7,000,000",673490
Ryan McMahon,28,COL,152,2.9,1.2,2.1,"$9,000,000",641857
Brandon Nimmo,30,NYM,152,3.9,4.7,-0.4,"$18,500,000",607043
Andrew Vaughn,25,CHW,152,0.9,0.9,-0.8,"$760,000",683734
CJ Abrams,22,WSN,151,3.4,3.0,1.3,"$724,200",682928
Randy Arozarena,28,TBR,151,3.5,3.1,-0.1,"$4,150,000",668227
Andrew Benintendi,28,CHW,151,0.2,0.5,-0.8,"$8,600,000",643217
James Outman,26,LAD,151,3.3,3.2,0.4,"$722,500",681546
Bryson Stott,25,PHI,151,4.3,3.7,1.1,"$734,500",681082
Josh Bell,30,2TM,150,0.4,0.9,-1.6,"$16,500,000",605137
Gunnar Henderson,22,BAL,150,6.2,4.8,2.0,"$723,200",683002
Nico Hoerner,26,CHC,150,5.1,3.7,2.0,"$2,525,000",663538
Ketel Marte,29,ARI,150,4.9,4.8,0.6,"$11,600,000",606466
Jeremy Peña,25,HOU,150,3.8,3.1,1.7,"$754,900",665161
Willy Adames,27,MIL,149,3.0,2.2,1.7,"$8,700,000",642715
Ozzie Albies,26,ATL,148,4.7,4.7,0.5,"$7,000,000",645277
Adolis García,30,TEX,148,4.2,3.6,0.2,"$747,760",666969
Zach McKinstry,28,DET,148,1.1,1.0,0.3,"$734,500",656716
MJ Melendez,24,KCR,148,-0.4,1.1,-2.0,"$726,500",
Luis Arráez,26,MIA,147,4.9,4.7,0.6,"$6,100,000",
Myles Straw,28,CLE,147,1.1,0.5,1.1,"$2,900,000",664702
Dansby Swanson,29,CHC,147,4.8,3.0,2.7,"$14,000,000",621020
Carlos Santana,37,2TM,146,2.7,1.6,0.3,"$6,750,000",467793
Justin Turner,38,BOS,146,2.1,2.1,-1.0,"$8,300,000",457759
Alec Bohm,26,PHI,145,0.4,1.7,-1.4,"$748,000",664761
J.P. Crawford,28,SEA,145,5.1,5.4,0.6,"$11,000,000",641487
