player_id,player_name,total_pitches,swings,hits,oppo_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
660636,"Castillo, Diego A.",2,1,0,50,0.000,0.000,0.000,0.000,0.055,92.5,36,2269,92.9,93
621311,"Dahl, David",31,3,1,9.7,0.333,1.000,0.000,1.333,0.633,98.7,34,1617,88.8,87.53
670128,"Kohlwey, Taylor",46,3,0,6.5,0.000,0.000,0.000,0.000,0.051,90.6,37,2173,87.6,87.53
602074,"Daza, Yonathan",275,12,1,4.4,0.091,0.000,0.083,0.091,0.125,83.7,36.2,2192,90.2,90.73
656495,"Guthrie, Dalton",113,5,0,4.4,0.000,0.000,0.000,0.000,0.127,91,38.4,2236,89,89.64
664057,"Stevenson, Andrew",116,5,0,4.3,0.000,0.000,0.000,0.000,0.034,83.2,43.4,2246,82.8,82.5
592325,"Gamel, Ben",49,2,0,4.1,0.000,0.000,0.000,0.000,0.024,87.2,43,2355,86.1,86.65
691718,"Crow-Armstrong, Pete",73,3,0,4.1,0.000,0.000,0.000,0.000,0.441,84.9,34.7,1904,81.7,82.47
501303,"Adrianza, Ehire",53,2,0,3.8,0.000,0.000,0.000,0.000,0.025,86.9,47,2147,86.1,86.9
677588,"Tena, José",158,6,2,3.8,0.333,0.333,0.333,0.667,0.303,90.8,39.5,2333,86.8,87.43
663967,"Salazar, César",82,3,0,3.7,0.000,0.000,0.000,0.000,0.029,86.9,44.3,2069,78.5,78.1
593643,"Alberto, Hanser",273,10,1,3.7,0.111,0.111,0.100,0.222,0.174,84.9,42.3,2222,86.1,86.21
676070,"Amaya, Jacob",28,1,0,3.6,0.000,0.000,0.000,0.000,0.294,95.9,33,1328,86.8,87.8
676632,"Madris, Bligh",117,4,0,3.4,0.000,0.000,0.000,0.000,0.019,87.8,46,2236,94.2,94.28
671732,"Butler, Lawrence",500,17,1,3.4,0.063,0.000,0.059,0.063,0.214,87.5,40.6,2248,91.5,92.08
675656,"Smith, Kevin",519,16,1,3.1,0.063,0.000,0.063,0.063,0.24,89.5,40.6,2372,89.6,89.61
663527,"Nevin, Tyler",464,14,2,3,0.154,0.308,0.077,0.462,0.249,92.6,40.2,2214,90.6,90.73
595909,"Cave, Jake",813,24,1,3,0.043,0.043,0.042,0.087,0.075,90.2,41.5,2226,88.9,88.59
600303,"La Stella, Tommy",104,3,1,2.9,0.333,0.000,0.333,0.333,0.224,84.2,33,2161,90.6,91.03
624503,"Gordon, Nick",309,9,0,2.9,0.000,0.000,0.000,0.000,0.077,90.3,40.4,2020,89.2,89.32
677941,"Adams, Jordyn",138,4,0,2.9,0.000,0.000,0.000,0.000,0.106,91.8,39,2156,92.6,93.58
673237,"Diaz, Yainer",1298,36,9,2.8,0.250,0.639,0.069,0.889,0.385,92.6,38.6,2247,89.5,89.58
668952,"Kreidler, Ryan",72,2,0,2.8,0.000,0.000,0.000,0.000,0.011,87.4,49.5,2292,95.1,94.1
670541,"Alvarez, Yordan",1908,54,10,2.8,0.189,0.283,0.137,0.472,0.299,91.8,40.9,2239,91,90.98
640458,"Mercado, Óscar",112,3,0,2.7,0.000,0.000,0.000,0.000,0.015,92.1,44,2227,92.6,92.37
676369,"Velázquez, Nelson",704,19,6,2.7,0.333,0.667,0.133,1.000,0.436,92.7,40.9,2290,92,92.35
680911,"Miller, Owen",1192,32,3,2.7,0.097,0.032,0.094,0.129,0.171,85.2,40.8,2317,90,90.38
669224,"Wells, Austin",296,8,1,2.7,0.125,0.375,0.000,0.500,0.183,89.7,42.3,2250,89.5,89.89
488726,"Brantley, Michael",220,6,0,2.7,0.000,0.000,0.000,0.000,0.08,86.9,40,2311,94.1,94.5
663630,"McKenna, Ryan",515,14,1,2.7,0.083,0.250,0.000,0.333,0.227,92.1,38.4,2293,92.6,93.41
660634,"Hernández, Yonny",111,3,0,2.7,0.000,0.000,0.000,0.000,0.115,89.5,35.7,2265,95.8,96.2
664770,"Lukes, Nathan",112,3,0,2.7,0.000,0.000,0.000,0.000,0.012,88.2,46.7,1978,88.4,87.7
