player_id,player_name,total_pitches,swings,hits,pulled_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
656821,Kevin Padlo,23,2,1,8.7,0.500,0.500,0.500,1.000,0.512,100.3,43,2309,89,90.15
444489,Manny Piña,47,2,1,4.3,0.500,1.500,0.000,2.000,0.442,96.8,33.5,2693,91.4,91.75
663330,Jahmai Jones,49,2,0,4.1,0.000,0.000,0.000,0.000,0.011,92.7,44.5,2427,91.1,91.4
661531,Brian Serven,77,3,0,3.9,0.000,0.000,0.000,0.000,0.227,84.1,33.3,2279,92.9,94.13
594807,Adam Duvall,1336,47,28,3.5,0.596,1.213,0.387,1.809,0.743,96.1,35.3,2235,88.5,88.7
672279,Michael Siani,29,1,0,3.4,0.000,0.000,0.000,0.000,0.25,98.7,39,2106,91.7,92
664954,Brett Sullivan,300,10,1,3.3,0.100,0.300,0.000,0.400,0.31,86.7,33.4,2137,87.4,87.36
593643,Hanser Alberto,273,9,3,3.3,0.333,1.000,0.000,1.333,0.202,91.1,34.8,2446,86.5,86.59
644433,Chadwick Tromp,62,2,0,3.2,0.000,0.000,0.000,0.000,0.092,95.1,40,2521,78.6,78.85
666197,Grae Kessinger,165,5,1,3,0.200,0.600,0.000,0.800,0.386,92.6,39.4,2246,84.3,83.9
676356,Jonny DeLuca,167,5,2,3,0.400,1.200,0.000,1.600,0.513,90.1,37.2,1924,79.6,79.08
647351,Abraham Toro,69,2,1,2.9,0.500,1.500,0.000,2.000,0.78,91.1,35.5,1844,89.8,90.15
643376,Danny Jansen,1185,33,17,2.8,0.515,1.485,0.059,2.000,0.674,94.7,34.7,2283,86.9,86.98
543760,Marcus Semien,2799,77,31,2.8,0.403,1.039,0.115,1.442,0.44,93.4,36.3,2254,87.7,87.87
666149,Tyler Fitzgerald,147,4,2,2.7,0.500,1.500,0.000,2.000,0.34,97.1,42.3,2348,79.8,80.03
680700,Richie Palacios,408,11,8,2.7,0.800,1.900,0.400,2.700,0.636,93.9,32.9,2384,86.5,86.81
676391,Ernie Clement,155,4,1,2.6,0.250,0.750,0.000,1.000,0.423,90.1,43.3,2229,88,87.88
680418,Tyler Cropley,38,1,0,2.6,0.000,0.000,0.000,0.000,0.051,91.9,39,2749,87,87.2
621438,Tyrone Taylor,889,23,13,2.6,0.565,1.348,0.286,1.913,0.64,96.2,34.1,2244,89,89.44
666211,Taylor Trammell,239,6,2,2.5,0.333,1.000,0.000,1.333,0.836,103.3,42.3,2245,89.9,90.12
