player_id,player_name,total_pitches,swings,hits,straightaway_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
668663,Tres Barrera,7,2,0,28.6,0.000,0.000,0.000,0.000,0.131,89.3,34,2257,84.6,85.1
608703,Matt Reynolds,17,2,1,11.8,0.500,0.000,0.500,0.500,0.373,77.5,36.5,1905,80.5,81.3
676625,Rylan Bannon,21,2,0,9.5,0.000,0.000,0.000,0.000,0.05,84.5,40.5,2297,81.2,81.6
663731,Connor Kaiser,15,1,0,6.7,0.000,0.000,0.000,0.000,1.128,101,30,2175,92.7,92.6
621532,Anthony Bemboom,42,2,0,4.8,0.000,0.000,0.000,0.000,0.076,77.8,51.5,2552,87.9,88.45
656484,Tristan Gray,21,1,1,4.8,1.000,3.000,,4.000,1.494,103.8,32,2172,98.4,98.8
663897,Luke Williams,67,3,0,4.5,0.000,0.000,0.000,0.000,0.115,90.8,43,2339,90.8,91.27
656821,Kevin Padlo,23,1,0,4.3,0.000,0.000,0.000,0.000,0.007,88.1,41,2492,88,89.3
686531,Andre Lipcius,163,7,3,4.3,0.429,0.429,0.333,0.857,0.37,86.9,37.6,2289,90.9,91.19
686490,Cam Eden,24,1,0,4.2,0.000,0.000,0.000,0.000,0.91,100.1,32,2134,82.5,83
592325,Ben Gamel,49,2,0,4.1,0.000,0.000,0.000,0.000,0.734,99.9,32,2201,94.5,95.05
543482,Drew Maggi,25,1,0,4,0.000,0.000,0.000,0.000,0.81,99.6,26,2383,94.5,95.9
657247,Brian O'Keefe,76,3,0,3.9,0.000,0.000,0.000,0.000,0.115,97,45.3,2280,91.8,91
676761,Irving Lopez,52,2,0,3.8,0.000,0.000,0.000,0.000,0.054,91.8,35.5,2342,96.4,97.3
624503,Nick Gordon,309,11,3,3.6,0.273,0.545,0.200,0.818,0.598,96.1,32,2304,90.1,89.85
687799,Cade Marlowe,431,15,5,3.5,0.333,0.400,0.286,0.733,0.385,89.6,34.5,2135,88.6,88.83
672744,Alexander Canario,61,2,2,3.3,1.000,1.500,1.000,2.500,0.67,87.3,32.5,2423,89.2,90.1
572138,Jon Singleton,422,14,1,3.3,0.071,0.071,0.071,0.143,0.314,93.6,35,2185,91.1,90.85
670869,Livan Soto,63,2,0,3.2,0.000,0.000,0.000,0.000,0.262,82.6,37,2449,97,96.95
680716,Jonathan Ornelas,31,1,0,3.2,0.000,0.000,0.000,0.000,0.051,77.7,53,1328,78.2,79
621311,David Dahl,31,1,0,3.2,0.000,0.000,0.000,0.000,0.619,98.6,34,1910,95.3,94.4
663698,Joey Bart,350,11,0,3.1,0.000,0.000,0.000,0.000,0.246,94.8,39.2,2140,90.5,90.74
553882,Omar Narváez,576,17,2,3,0.118,0.059,0.118,0.176,0.318,87.3,34.3,2290,88.3,88.8
645277,Ozzie Albies,2563,76,10,3,0.135,0.243,0.083,0.378,0.38,92.9,35.2,2182,89.1,89.52
666197,Grae Kessinger,165,5,1,3,0.200,0.200,0.200,0.400,0.696,98.2,34.2,2226,85.5,85.44
605361,Nick Martini,314,9,1,2.9,0.111,0.333,0.000,0.444,0.483,92,33.2,2288,88.4,89.06
679881,J.P. Martínez,173,5,0,2.9,0.000,0.000,0.000,0.000,0.052,88.1,44.4,2112,90.8,91.5
