Name,player_id,year,team,runner_runs
Gleyber Torres,650402,2023,NYY,0.03772222486
Keibert Ruiz,660688,2023,WSH,-4.34588117
Kevin Kiermaier,,2023,TOR,1.450155526
Edward Olivares,,2023,KC,0.9528941728
Gio Urshela,,2023,LAA,0.3626618537
Mike Yastrzemski,,2023,SF,0.6315504472
Tony Kemp,,2023,OAK,-0.4757459361
Ryan O'Hearn,,2023,BAL,-0.9522512064
Vinnie Pasquantino,,2023,KC,-1.670231157
Austin Riley,663586,2023,ATL,1.795046576
Randal Grichuk,,2023,MLB,-0.4883752246
Leody Taveras,665750,2023,TEX,2.537631368
Dominic Smith,642086,2023,WSH,-4.485632873
Mark Canha,592192,2023,MLB,0.3153490103
J.D. Davis,605204,2023,SF,-1.525698942
Nick Pratto,,2023,KC,-0.538284899
Brandon Crawford,,2023,SF,-0.03804558519
Connor Wong,,2023,BOS,-0.541574984
Travis Jankowski,,2023,TEX,0.2530397704
Harold Ramírez,,2023,TB,-0.6598155332
CJ Abrams,682928,2023,WSH,2.489229121
Patrick Bailey,,2023,SF,0.03270521236
Jorge Mateo,,2023,BAL,2.360872714
Ezequiel Duran,,2023,TEX,-1.689873936
Christian Walker,572233,2023,AZ,0.1022653255
Andrés Giménez,665926,2023,CLE,1.749787468
Joey Wendle,,2023,MIA,1.187416842
Jose Altuve,,2023,HOU,-0.99332285
C.J. Cron,,2023,MLB,-3.540951797
Miguel Rojas,,2023,LAD,0.05072285127
Alex Call,,2023,WSH,1.851870192
Miguel Cabrera,,2023,DET,-3.449460848
Nolan Jones,,2023,COL,0.6368572197
Cedric Mullins,,2023,BAL,1.838047944
Brandon Marsh,,2023,PHI,2.525129353
Nathaniel Lowe,663993,2023,TEX,-3.517073115
Matt McLain,,2023,CIN,0.4969679904
Jason Heyward,,2023,LAD,-0.1960941816
Dansby Swanson,621020,2023,CHC,2.183582664
Ke'Bryan Hayes,663647,2023,PIT,1.198494983
Zach McKinstry,656716,2023,DET,1.364867457
Jake Burger,669394,2023,MLB,0.2402514711
Juan Soto,665742,2023,SD,0.4284692345
Yasmani Grandal,,2023,CWS,-3.056262115
Santiago Espinal,,2023,TOR,-0.2905577305
Gunnar Henderson,683002,2023,BAL,6.091647284
Carlos Santana,467793,2023,MLB,0.4417180399
Kyle Farmer,,2023,MIN,0.6041656282
Adolis García,666969,2023,TEX,1.08647091
Garrett Cooper,,2023,MLB,-1.744833044
Christian Vázquez,,2023,MIN,-3.438780015
Adley Rutschman,668939,2023,BAL,0.2773850475
Aledmys Díaz,,2023,OAK,-1.904888395
David Peralta,,2023,LAD,-2.799586537
Kyle Tucker,663656,2023,HOU,1.428729642
Austin Hays,669720,2023,BAL,-0.8763953439
Max Kepler,,2023,MIN,-1.87110619
Yuli Gurriel,,2023,MIA,1.586953118
Shea Langeliers,,2023,OAK,1.05044041
Yoán Moncada,,2023,CWS,-0.2720035004
Elvis Andrus,,2023,CWS,0.6984140272
Jeff McNeil,643446,2023,NYM,-0.01199182582
Ian Happ,664023,2023,CHC,1.047568392
Tommy Edman,669242,2023,STL,0.02588380067
Ryan Noda,,2023,OAK,1.446922523
Luke Raley,,2023,TB,1.15808274
Matt Olson,621566,2023,ATL,1.441185328
Jordan Walker,,2023,STL,1.072731444
Vladimir Guerrero Jr.,665489,2023,TOR,-2.571372188
Paul DeJong,,2023,MLB,-0.6636709399
Christian Bethancourt,,2023,TB,-1.038138671
Josh Bell,605137,2023,MLB,-3.064617363
