Name,player_id,Team,Age,Season,K%,BB%,Brls/BBE%,HardHit%,Spd,LD%,GB%,FB%,HR/FB%,IFH%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,SwStr%,BsR,Pull%,Oppo%,LA,HR,SB
Matt Chapman,656305,TOR,30,2023,28.4,10.7,17.1,56.1,3.7,15.6,35,49.4,9.9,9.9,22.5,69.2,43.3,59.8,78.3,11.7,-0.8,39.3,23.4,18.5,17,4
Juan Soto,665742,SDP,24,2023,18.2,18.6,13,55.3,3.5,16.6,51,32.4,24.5,5.8,20,60.2,35.7,67.6,89.9,6.3,-0.9,38.9,20.7,6.7,35,12
Matt Olson,621566,ATL,29,2023,23.2,14.4,16.4,55.1,3.1,17.8,38.7,43.6,27.8,2.9,29.5,73.5,46.9,69.5,77.7,11.9,0.2,38.2,24.5,16.1,54,1
Ronald Acuña Jr.,660670,ATL,25,2023,11.4,10.9,15.3,55,7.3,20.1,49.5,30.4,24,8.3,26.8,72.8,46.2,73.8,87.8,7.8,8.8,39.7,24.7,7.4,41,73
Rafael Devers,646240,BOS,26,2023,19.2,9.5,12.7,54.7,3.0,18,42.8,39.3,18.4,6.2,36.1,79.1,52.5,70.8,79.8,12.6,-3.2,41.1,24.1,12.4,33,5
Yandy Díaz,650490,TBR,31,2023,15.7,10.8,9.5,54,1.8,19.4,52,28.6,17.7,8,22.8,68.5,42.6,68.1,90.1,7,-4.4,31.4,27.5,5.7,22,0
Shohei Ohtani,660271,LAA,28,2023,23.9,15.2,19.3,53.3,6.6,18.2,42.3,39.5,31.2,7.3,33.3,70.7,48,56.5,81.4,13.9,2.5,38.9,24.9,13.2,44,20
Corey Seager,608369,TEX,29,2023,16.4,9.1,15.2,53.2,2.4,20.3,40,39.7,21,5.7,33.6,85.5,55.2,55.1,89.5,12.6,-2.8,41.5,24.1,13.0,33,2
Julio Rodríguez,677594,SEA,22,2023,24.5,6.6,11.9,52,6.0,18.5,47.6,33.9,19.6,12.7,41,73,53.8,58.9,85.1,14.4,5.2,42,23.7,8.5,32,37
Gunnar Henderson,683002,BAL,22,2023,25.6,9,11.4,51.7,6.9,19.1,45,35.9,19.3,4.4,29,69.5,46.8,62.4,82.7,11.4,5.8,39.9,25,11.4,28,10
Paul Goldschmidt,502671,STL,35,2023,23.4,12.7,11.9,50.7,3.6,21.6,41.1,37.2,15.4,7.3,29.1,63.8,43.9,68.2,79.8,10.8,0.1,33.1,31.7,12.8,25,11
Maikel Garcia,672580,KCR,23,2023,22.3,7.4,3.9,50.6,6.3,24.6,48,27.4,4.1,7,24.4,65.7,42.9,69.8,87.7,7.7,1.3,33.1,27.5,6.1,4,23
Spencer Torkelson,679529,DET,23,2023,25,9.8,14.1,50.5,3.3,18.6,34.5,46.8,15,7.9,27.7,70.2,46.3,62.1,85.5,10.3,0.1,47.7,23.9,17.1,31,3
Christian Yelich,592885,MIL,31,2023,22.2,12.3,9.3,49.9,6.0,19.8,57.3,22.9,20.2,5.1,28,70.3,45,59.7,85.3,10.9,7.2,35.3,29.7,3.5,19,28
Adolis García,666969,TEX,30,2023,27.7,10.3,16.1,49.7,4.5,16.3,36.8,46.9,21.5,10.6,33,74.3,48.6,58.5,78.9,14.4,1.4,42.5,23.1,15.7,39,9
MJ Melendez,669004,KCR,24,2023,28.2,10.3,11.4,49.6,4.5,20.4,36,43.6,10,6.1,29.8,72.4,47.8,54.3,76.8,15,0.5,45.8,21.8,16.9,16,6
Brent Rooker,667670,OAK,28,2023,32.7,9.3,15.6,49.5,3.3,19.3,33.6,47.1,21.6,6.1,32,66.4,46.1,44.9,78.6,16.2,-0.7,34.2,24.8,17.6,30,4
Teoscar Hernández,606192,SEA,30,2023,31.1,5.6,13.8,49.4,3.7,19.5,43.2,37.3,16.6,8.8,38.5,74.9,53.7,49.8,79.1,17.8,-4.4,38.2,25.4,12.3,26,7
Jake Burger,669394,- - -,27,2023,27.6,5.9,16.7,49.3,2.5,18.4,42.9,38.6,25.4,5.4,41.3,72.2,54,50.6,82.6,17.1,-0.8,49,18.2,12.3,34,1
Vladimir Guerrero Jr.,665489,TOR,24,2023,14.7,9.8,11.1,49.2,2.4,18.4,46.2,35.4,14.5,3.4,32.5,76.8,50.6,64.6,87.3,10.8,-4.2,42.3,22.7,10.5,26,5
Marcell Ozuna,542303,ATL,32,2023,22.6,9.6,16.6,49,1.7,19.6,39.7,40.7,24.7,3.8,32.5,71.9,48.5,59.5,85.1,12.2,-2.1,43.2,28.1,15.6,40,0
Fernando Tatis Jr.,665487,SDP,24,2023,22.2,8.3,11,48.9,5.9,19.2,47.1,33.6,17,6.3,35.7,81.7,54.1,58.3,80.3,15.3,3.0,43.6,17.4,11.0,25,29
Austin Riley,663586,ATL,26,2023,24.1,8.3,13.9,48.8,4.1,18.5,41.3,40.2,19.4,9.7,31,71.9,48.2,59.6,83.1,12.4,0.7,41.1,23.2,13.5,37,3
Kyle Schwarber,656941,PHI,30,2023,29.9,17.5,16.4,48.5,2.2,16.1,34.4,49.5,25.5,0.8,24.1,57.3,37.6,54.2,80.2,11.2,-4.5,53.9,14.8,19.0,47,0
Michael Harris II,671739,ATL,22,2023,18.7,4.6,10.1,48.5,6.1,22.2,47.2,30.6,14.5,3.1,41.6,68.2,52.7,68.3,86.2,11.6,4.9,35.8,27.2,7.6,18,20
