Name,player_id,team,year,xwOBA,xISO,xwOBACON,Solid_Contact%,Meatball_Swing%,F_Strike%,runner_runs,Age,Season,Cluster,PA,wRC+,OFF,xBA,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB,K%,BB%,LD%
Ty France,664034,SEA,2023,0.342,0.151,0.367,5.1,80.9,60.6,-3.16565148,28,2023,7,665,104,-1.5,0.27,3.65,10.7,99.3,6.8,38.4,7.3,2.5,-4.3,41.8,34.8,2.0,42.9,20.4,53.2,37.9,63.8,74.7,91.5,13.7,12,1,17.6,6.5,26.5
Cal Raleigh,663728,SEA,2023,0.33,0.233,0.422,7.0,78.8,57.6,-1.315532282,26,2023,3,569,111,5.6,0.233,4.11,14.0,101.0,12.6,40.7,17.3,2.1,-2.2,31.5,48.6,8.9,51.1,19.9,49.7,34.5,59.6,72.5,80.6,20.3,30,0,27.8,9.5,22.2
Nathaniel Lowe,663993,TEX,2023,0.339,0.143,0.386,6.3,78.6,56.5,-3.517073115,27,2023,10,724,114,7.7,0.263,4.2,7.9,101.1,6.5,41.4,12.3,3.0,-4.9,47.7,29.9,5.9,29.1,30.8,43.8,26.0,67.5,68.6,89.6,7.2,17,1,22.8,12.8,26.7
Marcell Ozuna,542303,ATL,2023,0.393,0.298,0.481,6.5,84.8,59.9,-1.035346058,32,2023,3,592,139,26.6,0.283,4,12.2,103.3,16.6,49.0,24.7,1.7,-2.1,39.7,40.7,3.8,43.2,28.1,48.5,32.5,59.5,71.9,85.1,15.6,40,0,22.6,9.6,21.9
Rafael Devers,646240,BOS,2023,0.38,0.257,0.441,8.5,82.5,59.6,-2.591232351,26,2023,4,656,124,15.5,0.282,3.93,12.6,104.5,12.7,54.7,18.4,3.0,-3.2,42.8,39.3,6.2,41.1,24.1,52.5,36.1,70.8,79.1,79.8,12.4,33,5,19.2,9.5,20.6
Josh Bell,605137,MLB,2023,0.345,0.194,0.403,5.3,81.5,57.9,-3.064617363,30,2023,7,617,105,-1.1,0.263,3.94,10.9,101.6,10.1,42.6,15.5,0.7,-4.6,48.3,34.1,6.5,45.7,22.4,47.6,31.1,62.6,73.5,86.7,9.3,22,0,21.7,10.2,21.4
Randy Arozarena,668227,TB,2023,0.351,0.192,0.403,7.8,72.9,60.6,1.788496847,28,2023,3,654,126,20.7,0.243,4.1,11.9,102.1,12.3,48.0,14.8,5.6,0.5,43.0,38.9,13.5,41.0,22.8,43.0,30.0,63.7,63.5,78.9,11.3,23,22,23.9,12.2,23.3
Mark Canha,592192,MLB,2023,0.323,0.133,0.326,6.6,69.4,64.6,0.3153490103,34,2023,1,507,111,7.9,0.248,4.11,7.1,99.0,4.7,36.7,7.6,4.4,1.0,44.5,39.8,5.0,43.9,21.3,41.5,26.7,71.5,61.1,89.5,13.1,11,11,15.6,9.7,21.8
Matt Vierling,663837,DET,2023,0.322,0.13,0.371,5.1,72.0,64.3,2.157200323,26,2023,10,530,99,-1.0,0.266,4.02,7.2,100.6,4.6,42.0,8.8,4.7,-0.2,48.5,30.8,5.6,33.9,32.8,44.2,30.6,73.4,61.3,90.1,9.1,10,6,21.1,8.3,23.8
Alex Bregman,608324,HOU,2023,0.351,0.163,0.344,10.1,73.3,60.7,-2.761783405,29,2023,1,724,125,17.8,0.266,3.85,4.9,98.1,5.4,38.2,10.1,3.7,-4.2,35.4,46.0,3.7,42.6,22.2,38.7,22.3,74.7,63.3,94.1,17.6,25,3,12.0,12.7,25.0
Juan Soto,665742,SD,2023,0.408,0.254,0.446,7.6,73.8,55.5,0.4284692345,24,2023,1,708,155,47.4,0.284,4.09,6.3,104.5,13.0,55.3,24.5,3.5,-0.9,51.0,32.4,5.8,38.9,20.7,35.7,20.0,67.6,60.2,89.9,6.7,35,12,18.2,18.6,18.9
Keibert Ruiz,660688,WSH,2023,0.322,0.15,0.333,4.9,74.0,60.1,-4.34588117,24,2023,10,562,93,-10.5,0.274,3.36,6.6,97.3,5.8,31.7,9.8,1.6,-5.5,38.5,39.2,3.9,45.8,20.3,51.1,39.5,78.4,67.0,94.0,15.2,18,1,10.3,5.5,26.1
Jeimer Candelario,600869,MLB,2023,0.318,0.171,0.359,7.3,76.6,57.9,-0.3441983429,29,2023,6,576,117,12.0,0.236,4.05,10.2,99.2,7.8,36.3,14.2,5.3,-0.1,40.1,40.6,5.9,45.6,22.5,47.3,32.0,65.4,69.9,87.2,14.1,22,8,22.0,9.2,25.1
George Springer,543807,TOR,2023,0.332,0.158,0.369,6.5,87.3,61.6,-0.9329762792,33,2023,7,683,104,2.9,0.264,3.7,9.8,100.3,7.7,39.4,12.1,4.6,-0.4,44.2,35.4,6.9,39.5,24.4,49.2,27.5,63.4,76.1,87.4,12.0,21,20,18.3,8.8,22.4
Fernando Tatis Jr.,665487,SD,2023,0.364,0.227,0.439,7.8,93.0,63.1,0.04047792749,24,2023,4,635,113,13.1,0.281,3.68,15.3,102.9,11.0,48.9,17.0,5.9,3.0,47.1,33.6,6.3,43.6,17.4,54.1,35.7,58.3,81.7,80.3,11.0,25,29,22.2,8.3,21.2
Eugenio Suárez,553993,SEA,2023,0.324,0.196,0.418,6.8,77.4,60.1,-1.096060086,31,2023,9,694,102,-0.4,0.223,4.18,13.2,100.7,12.7,43.0,12.9,1.9,-2.5,33.9,43.3,6.7,46.8,20.0,44.5,26.4,50.8,68.5,80.4,18.9,22,2,30.8,10.1,25.1
Justin Turner,457759,BOS,2023,0.336,0.184,0.367,9.3,74.3,60.7,-4.348310312,38,2023,1,626,114,5.6,0.26,4.27,7.0,98.6,5.7,39.0,12.2,3.1,-5.2,35.7,41.4,7.4,41.0,26.4,45.0,29.6,73.2,65.1,91.0,16.5,23,4,17.6,8.1,25.1
Cody Bellinger,641355,CHC,2023,0.327,0.165,0.357,5.4,80.1,62.3,2.043560128,27,2023,6,556,134,26.1,0.268,3.88,9.4,97.7,6.1,31.4,14.1,5.5,2.4,35.8,43.4,8.6,43.6,19.1,49.9,35.3,72.0,68.7,87.4,17.2,26,20,15.6,7.2,26.4
Jake Cronenworth,630105,SD,2023,0.305,0.131,0.327,8.4,67.5,60.7,2.504734253,29,2023,10,522,92,-2.7,0.238,3.95,6.4,97.7,4.4,33.2,6.8,5.8,2.4,37.2,40.6,8.2,36.2,26.7,47.3,31.0,74.9,67.3,93.1,15.0,10,6,18.6,8.8,26.2
Paul Goldschmidt,502671,STL,2023,0.367,0.22,0.44,8.5,72.4,61.3,0.2481614828,35,2023,6,687,122,19.1,0.271,4.14,10.8,102.4,11.9,50.7,15.4,3.6,0.1,41.1,37.2,7.3,33.1,31.7,43.9,29.1,68.2,63.8,79.8,12.8,25,11,23.4,12.7,25.7
Dansby Swanson,621020,CHC,2023,0.345,0.203,0.413,7.3,79.8,61.8,2.183582664,29,2023,7,638,104,5.3,0.255,4.01,12.7,99.8,10.9,39.5,15.2,4.8,2.3,44.6,35.1,9.8,46.0,18.4,47.4,28.4,61.3,73.3,79.3,13.0,22,9,24.1,10.3,24.2
Jeremy Peña,665161,HOU,2023,0.31,0.111,0.355,5.3,79.2,64.1,3.104260782,25,2023,2,634,96,-2.0,0.259,3.63,13.9,99.1,4.0,35.1,8.5,4.9,0.7,54.3,26.6,8.7,44.9,21.1,52.9,38.1,53.1,75.4,89.7,5.5,10,13,20.3,6.8,22.9
Gunnar Henderson,683002,BAL,2023,0.346,0.212,0.431,7.9,79.8,62.6,6.091647284,22,2023,7,622,123,23.0,0.261,3.87,11.4,102.7,11.4,51.7,19.3,6.9,5.8,45.0,35.9,4.4,39.9,25.0,46.8,29.0,62.4,69.5,82.7,11.4,28,10,25.6,9.0,23.3
Kyle Tucker,663656,HOU,2023,0.386,0.239,0.412,8.1,85.8,62.5,1.428729642,26,2023,6,674,140,36.1,0.292,3.81,7.5,100.8,10.4,44.5,13.9,6.4,4.0,38.4,42.5,4.8,44.9,22.2,46.5,25.9,69.6,73.1,90.4,14.8,29,30,13.6,11.9,24.2
Freddie Freeman,518692,LAD,2023,0.408,0.243,0.461,8.8,91.5,62.0,1.802534278,33,2023,7,730,163,61.3,0.323,3.77,9.4,100.6,11.1,41.8,15.0,6.0,4.5,35.3,37.0,3.3,36.5,27.8,51.0,30.1,68.8,79.2,88.0,15.2,29,23,16.6,9.9,30.9
Ke'Bryan Hayes,663647,PIT,2023,0.321,0.166,0.38,9.9,73.3,61.5,1.198494983,26,2023,10,525,101,0.6,0.273,3.67,8.6,101.7,7.4,48.4,9.8,5.7,-0.1,41.8,39.0,7.3,31.0,31.6,45.5,33.3,65.6,62.7,92.5,13.2,15,10,19.8,5.3,24.9
Lane Thomas,657041,WSH,2023,0.319,0.182,0.403,6.5,74.6,60.4,0.9169252779,27,2023,6,682,109,9.0,0.255,3.85,9.0,100.2,9.6,40.5,16.4,6.0,1.7,44.0,37.3,9.4,51.2,19.2,43.6,30.6,64.4,62.1,89.8,10.8,28,20,25.8,5.3,25.9
Luis Arraez,650333,MIA,2023,0.354,0.129,0.358,3.7,77.2,60.6,0.3127572872,26,2023,5,617,132,23.1,0.329,3.5,3.1,95.7,3.5,25.2,6.5,2.9,-1.4,42.9,28.7,2.2,29.6,31.3,50.8,35.7,91.5,68.8,95.3,11.5,10,3,5.5,5.7,31.3
