Name,player_id,year,K%,BB%,xba,xwoba,xiso,xwobacon,Solid_Contact%,z-swing%,o-swing%,Meatball_Swing%,F_Strike%,LD%
France Ty,664034,2023,17.6,6.5,0.27,0.342,0.151,0.367,5.1,74,33.3,80.9,60.6,26.5
Raleigh Cal,663728,2023,27.8,9.5,0.233,0.33,0.233,0.422,7,70.9,31.4,78.8,57.6,22.2
Lowe Nathaniel,663993,2023,22.8,12.8,0.263,0.339,0.143,0.386,6.3,67.2,20.8,78.6,56.5,26.7
Ozuna Marcell,542303,2023,22.6,9.6,0.28,0.393,0.298,0.481,6.5,69.8,29.7,84.8,59.9,21.9
Devers Rafael,646240,2023,19.2,9.5,0.282,0.38,0.257,0.441,8.5,77.1,32.5,82.5,59.6,20.6
Bell Josh,605137,2023,21.7,10.2,0.263,0.345,0.194,0.403,5.3,70.8,27.8,81.5,57.9,21.4
Arozarena Randy,668227,2023,23.9,12.2,0.243,0.351,0.192,0.403,7.8,61,27.5,72.9,60.6,23.3
Canha Mark,592192,2023,15.6,9.7,0.248,0.323,0.133,0.326,6.6,58.9,23.9,69.4,64.6,21.8
Vierling Matt,663837,2023,21.1,8.3,0.266,0.322,0.13,0.371,5.1,59.1,28.5,72,64.3,23.8
Bregman Alex,608324,2023,12,12.7,0.266,0.351,0.163,0.344,10.1,61.1,18.6,73.3,60.7,25
Soto Juan,665742,2023,18.2,18.6,0.284,0.408,0.254,0.446,7.6,57.8,16.6,73.8,55.5,18.9
Ruiz Keibert,660688,2023,10.3,5.5,0.274,0.322,0.15,0.333,4.9,66.6,36.5,74,60.1,26.1
Candelario Jeimer,600869,2023,22,9.2,0.236,0.318,0.171,0.359,7.3,68.1,28.3,76.6,57.9,25.1
Springer III George,543807,2023,18.3,8.8,0.264,0.332,0.158,0.369,6.5,73.3,23.1,87.3,61.6,22.4
Tatis Jr. Fernando,665487,2023,22.2,8.3,0.281,0.364,0.227,0.439,7.8,78.7,32.3,93,63.1,21.2
Suárez Eugenio,553993,2023,30.8,10.1,0.223,0.324,0.196,0.418,6.8,65.7,23.6,77.4,60.1,25.1
Turner Justin,457759,2023,17.6,8.1,0.26,0.336,0.184,0.367,9.3,63.5,25.7,74.3,60.7,25.1
Bellinger Cody,641355,2023,15.6,7.2,0.268,0.327,0.165,0.357,5.4,67.8,31,80.1,62.3,26.4
Cronenworth Jake,630105,2023,18.6,8.8,0.238,0.305,0.131,0.327,8.4,67.1,26.4,67.5,60.7,26.2
Goldschmidt Paul,502671,2023,23.4,12.7,0.271,0.367,0.22,0.44,8.5,61.8,26.5,72.4,61.3,25.7
Swanson Dansby,621020,2023,24.1,10.3,0.255,0.345,0.203,0.413,7.3,71.3,23.6,79.8,61.8,24.2
Peña Jeremy,665161,2023,20.3,6.8,0.265,0.31,0.111,0.355,5.3,73.2,35.9,79.2,64.1,22.9
Henderson Gunnar,683002,2023,25.6,9,0.261,0.346,0.212,0.431,7.9,66.7,26.5,79.8,62.6,23.3
Tucker Kyle,663656,2023,13.6,11.9,0.292,0.386,0.239,0.412,8.1,71.8,21.6,85.8,62.5,24.2
Freeman Freddie,518692,2023,16.6,9.9,0.323,0.408,0.243,0.461,8.8,76.1,26.9,91.5,62,30.9
Hayes Ke'Bryan,663647,2023,19.8,5.3,0.27,0.321,0.166,0.38,9.9,61,30.7,73.3,61.5,24.9
Thomas Lane,657041,2023,25.8,5.3,0.255,0.319,0.182,0.403,6.5,61.1,27.2,74.6,60.4,25.9
Arraez Luis,650333,2023,5.5,5.7,0.329,0.354,0.129,0.358,3.7,68.6,31.8,77.2,60.6,31.3
Profar Jurickson,595777,2023,17.3,9.6,0.247,0.306,0.102,0.32,5.1,68.8,25.1,82.6,63,26.7
Hernández Teoscar,606192,2023,31.1,5.6,0.258,0.336,0.218,0.466,6.4,73,35.2,80,65.3,24.9
Straw Myles,664702,2023,18.7,8.1,0.239,0.272,0.061,0.293,2.4,60,23.9,75.1,62.9,25.5
Varsho Daulton,662139,2023,23.2,7.7,0.232,0.302,0.161,0.357,7.3,70.6,28.1,80.7,61.3,21.5
Merrifield Whit,593160,2023,17.1,6.1,0.242,0.276,0.093,0.304,5.3,69.8,32.5,74.1,65.9,26.1
Hernández Enrique,571771,2023,19.1,6.7,0.224,0.272,0.113,0.302,5.1,66,27.9,79.9,61.6,24.3
