bad_name,Name,player_id,Season,Age,50th_max_velo,P/PA,b_total_pitches,pa
"LeMahieu, DJ",DJ LeMahieu,518934,2023,34,100.3,4.01,2254,562
"Rodríguez, Julio",Julio Rodríguez,677594,2023,22,104.1,3.52,2511,714
"Springer III, George",George Springer III,543807,2023,33,100.3,3.70,2528,683
"Bogaerts, Xander",Xander Bogaerts,593428,2023,30,98.5,3.98,2644,665
"Raleigh, Cal",Cal Raleigh,663728,2023,26,101.0,4.11,2338,569
"Smith, Will",Will Smith,669257,2023,28,99.6,4.14,2292,554
"Suárez, Eugenio",Eugenio Suárez,553993,2023,31,100.7,4.18,2903,694
"Hoerner, Nico",Nico Hoerner,663538,2023,26,97.3,3.69,2539,688
"Casas, Triston",Triston Casas,671213,2023,23,102.6,4.11,2062,502
"Swanson, Dansby",Dansby Swanson,621020,2023,29,99.8,4.01,2558,638
"Cronenworth, Jake",Jake Cronenworth,630105,2023,29,97.7,3.95,2060,522
"Acuña Jr., Ronald",Ronald Acuña Jr.,660670,2023,25,106.4,3.79,2782,735
"Merrifield, Whit",Whit Merrifield,593160,2023,34,94.9,3.72,2200,592
"Realmuto, J.T.",J.T. Realmuto,592663,2023,32,101.3,3.88,2096,540
"Santander, Anthony",Anthony Santander,623993,2023,28,101.7,4.21,2764,656
"Varsho, Daulton",Daulton Varsho,662139,2023,26,99.9,3.98,2313,581
"Rosario, Amed",Amed Rosario,642708,2023,27,99.5,3.63,1979,545
"Rosario, Eddie",Eddie Rosario,592696,2023,31,98.6,3.70,1908,516
"Marte, Ketel",Ketel Marte,606466,2023,29,101.6,3.82,2483,650
"Torkelson, Spencer",Spencer Torkelson,679529,2023,23,102.7,4.11,2814,684
"Castellanos, Nick",Nick Castellanos,592206,2023,31,100.4,3.62,2427,671
"Hernández, Teoscar",Teoscar Hernández,606192,2023,30,103.0,3.94,2673,678
"Muncy, Max",Max Muncy,571970,2023,32,101.3,4.29,2485,579
"Suwinski, Jack",Jack Suwinski,669261,2023,24,102.2,4.27,2281,534
"Ozuna, Marcell",Marcell Ozuna,542303,2023,32,103.3,4.00,2366,592
"Renfroe, Hunter",Hunter Renfroe,592669,2023,31,100.5,3.84,2107,548
"Guerrero Jr., Vladimir",Vladimir Guerrero Jr.,665489,2023,24,104.1,3.58,2441,682
"Stott, Bryson",Bryson Stott,681082,2023,25,97.4,4.16,2665,640
"Drury, Brandon",Brandon Drury,592273,2023,30,101.8,3.75,1963,523
"Friedl Jr., TJ",TJ Friedl Jr.,670770,2023,27,96.4,3.95,2194,556
"Hays, Austin",Austin Hays,669720,2023,27,100.5,3.75,2122,566
"Paredes, Isaac",Isaac Paredes,670623,2023,24,96.4,4.14,2366,571
"Tovar, Ezequiel",Ezequiel Tovar,678662,2023,21,99.0,3.72,2290,615
"Arraez, Luis",Luis Arraez,650333,2023,26,95.7,3.50,2161,617
"Ramírez, José",José Ramírez,608070,2023,30,100.1,3.78,2610,691
"Happ, Ian",Ian Happ,664023,2023,28,99.7,4.14,2862,691
"Kwan, Steven",Steven Kwan,680757,2023,25,94.1,3.96,2843,718
"Robert Jr., Luis",Luis Robert Jr.,673357,2023,25,101.8,3.70,2200,595
"Abrams, CJ",CJ Abrams,682928,2023,22,98.8,3.60,2212,614
"Bell, Josh",Josh Bell,605137,2023,30,101.6,3.94,2428,617
"Freeman, Freddie",Freddie Freeman,518692,2023,33,100.6,3.77,2753,730
"Lowe, Nathaniel",Nathaniel Lowe,663993,2023,27,101.1,4.20,3044,724
"Santana, Carlos",Carlos Santana,467793,2023,37,99.4,3.98,2463,619
"Smith, Dominic",Dominic Smith,642086,2023,28,97.2,3.77,2210,586
"Arozarena, Randy",Randy Arozarena,668227,2023,28,102.1,4.10,2679,654
