Name,player_id,Team,Season,Age,PA,xwOBA,xBA,wRC+,OFF (Offensive Runs Above Average)
Ronald Acuña Jr.,660670,ATL,2023,25,735,0.46,0.357,170,72.9
Freddie Freeman,518692,LAD,2023,33,730,0.408,0.323,163,61.3
Shohei Ohtani,660271,LAA,2023,28,599,0.427,0.295,180,59.6
Mookie Betts,605141,LAD,2023,30,693,0.407,0.294,167,58
Matt Olson,621566,ATL,2023,29,720,0.392,0.264,160,54.1
Juan Soto,665742,SDP,2023,24,708,0.408,0.284,155,47.4
Yandy Díaz,650490,TBR,2023,31,600,0.383,0.305,164,41.7
Corey Seager,608369,TEX,2023,29,536,0.412,0.314,169,41.4
Corbin Carroll,682998,ARI,2023,22,645,0.344,0.268,133,38.7
Kyle Tucker,663656,HOU,2023,26,674,0.386,0.292,140,36.1
Bryce Harper,547180,PHI,2023,30,546,0.399,0.29,142,28.2
Julio Rodríguez,677594,SEA,2023,22,714,0.345,0.274,126,27.6
Marcell Ozuna,542303,ATL,2023,32,592,0.396,0.283,139,26.6
Cody Bellinger,641355,CHC,2023,27,556,0.327,0.268,134,26.1
J.P. Crawford,641487,SEA,2023,28,638,0.34,0.26,134,26
Austin Riley,663586,ATL,2023,26,715,0.365,0.273,127,24.5
Christian Yelich,592885,MIL,2023,31,632,0.362,0.284,122,24.3
Isaac Paredes,670623,TBR,2023,24,571,0.315,0.23,137,23.2
Marcus Semien,543760,TEX,2023,32,753,0.333,0.262,124,23.1
Luis Arraez,650333,MIA,2023,26,617,0.354,0.329,132,23.1
Gunnar Henderson,683002,BAL,2023,22,622,0.346,0.261,123,23
Ozzie Albies,645277,ATL,2023,26,660,0.34,0.266,124,22.9
Brandon Nimmo,607043,NYM,2023,30,682,0.352,0.261,130,22.1
Francisco Lindor,596019,NYM,2023,29,687,0.346,0.255,121,21.9
Ketel Marte,606466,ARI,2023,29,650,0.342,0.266,127,21.6
José Ramírez,608070,CLE,2023,30,691,0.359,0.299,123,21.4
Randy Arozarena,668227,TBR,2023,28,654,0.351,0.243,126,20.7
Adley Rutschman,668939,BAL,2023,25,687,0.373,0.292,127,20.4
Luis Robert Jr.,673357,CHW,2023,25,595,0.347,0.259,128,20
Bobby Witt Jr.,677951,KCR,2023,23,694,0.369,0.294,115,19.9
Adolis García,666969,TEX,2023,30,632,0.366,0.25,124,19.7
Paul Goldschmidt,502671,STL,2023,35,687,0.367,0.271,122,19.1
Alex Bregman,608324,HOU,2023,29,724,0.351,0.266,125,17.8
Christian Walker,572233,ARI,2023,32,661,0.339,0.251,120,17.8
Xander Bogaerts,593428,SDP,2023,30,665,0.318,0.255,120,17.5
TJ Friedl,670770,CIN,2023,27,556,0.289,0.24,116,17.4
Seiya Suzuki,673548,CHC,2023,28,583,0.357,0.283,126,17.1
Gleyber Torres,650402,NYY,2023,26,672,0.362,0.282,123,16.9
William Contreras,661388,MIL,2023,25,611,0.335,0.255,124,16.9
Pete Alonso,624413,NYM,2023,28,658,0.368,0.246,121,16.8
Bo Bichette,666182,TOR,2023,25,601,0.363,0.312,125,16.3
Brent Rooker,667670,OAK,2023,28,526,0.343,0.237,127,16.3
James Outman,681546,LAD,2023,26,567,0.325,0.228,118,16.3
Trea Turner,607208,PHI,2023,30,691,0.33,0.266,108,16.2
Jorge Soler,624585,MIA,2023,31,580,0.374,0.262,126,16.2
Ian Happ,664023,CHC,2023,28,691,0.35,0.254,118,16.2
Rafael Devers,646240,BOS,2023,26,656,0.38,0.282,124,15.5
Michael Harris II,671739,ATL,2023,22,539,0.357,0.304,115,14.8
Triston Casas,671213,BOS,2023,23,502,0.37,0.253,129,14.8
Anthony Santander,623993,BAL,2023,28,656,0.319,0.237,119,14.5
Spencer Steer,668715,CIN,2023,25,665,0.333,0.252,118,14.2
Lars Nootbaar,663457,STL,2023,25,503,0.356,0.265,118,13.2
Ha-Seong Kim,673490,SDP,2023,27,626,0.313,0.245,112,13.1
Fernando Tatis Jr.,665487,SDP,2023,24,635,0.364,0.281,113,13.1
Jake Burger,669394,- - -,2023,27,540,0.359,0.27,120,12.7
Kyle Schwarber,656941,PHI,2023,30,720,0.364,0.22,119,12.7
LaMonte Wade Jr.,664774,SFG,2023,29,519,0.363,0.265,122,12.4
Max Muncy,571970,LAD,2023,32,579,0.364,0.235,118,12
Jeimer Candelario,600869,- - -,2023,29,576,0.318,0.236,117,12
Will Smith,669257,LAD,2023,28,554,0.352,0.262,119,11.7
Vladimir Guerrero Jr.,665489,TOR,2023,24,682,0.378,0.299,118,10.5
Jack Suwinski,669261,PIT,2023,24,534,0.346,0.218,112,10.4
Bryan Reynolds,668804,PIT,2023,28,640,0.36,0.28,110,9.4
Lane Thomas,657041,WSN,2023,27,682,0.319,0.255,109,9
Nico Hoerner,663538,CHC,2023,26,688,0.311,0.273,102,8.5
Manny Machado,592518,SDP,2023,30,601,0.335,0.258,114,8.2
Mark Canha,592192,- - -,2023,34,507,0.323,0.248,111,7.9
Nathaniel Lowe,663993,TEX,2023,27,724,0.339,0.263,114,7.7
Austin Hays,669720,BAL,2023,27,566,0.309,0.242,112,6.9
Matt Chapman,656305,TOR,2023,30,581,0.337,0.23,110,6.2
Brandon Drury,592273,LAA,2023,30,523,0.318,0.252,114,6
Bryson Stott,681082,PHI,2023,25,640,0.309,0.267,101,5.8
Justin Turner,457759,BOS,2023,38,626,0.336,0.26,114,5.6
Cal Raleigh,663728,SEA,2023,26,569,0.33,0.233,111,5.6
Spencer Torkelson,679529,DET,2023,23,684,0.352,0.253,107,5.4
Dansby Swanson,621020,CHC,2023,29,638,0.345,0.255,104,5.3
Masataka Yoshida,807799,BOS,2023,29,580,0.325,0.273,109,4.7
Nick Castellanos,592206,PHI,2023,31,671,0.32,0.258,109,4.6
Steven Kwan,680757,CLE,2023,25,718,0.317,0.282,100,4.4
Lourdes Gurriel Jr.,666971,ARI,2023,29,592,0.324,0.264,106,4.3
Nolan Arenado,571448,STL,2023,32,612,0.32,0.266,107,3.1
George Springer,543807,TOR,2023,33,683,0.332,0.264,104,2.9
Josh Jung,673962,TEX,2023,25,515,0.337,0.26,110,2.9
Thairo Estrada,642731,SFG,2023,27,530,0.292,0.248,101,2.5
Jonathan India,663697,CIN,2023,26,529,0.339,0.252,99,2.3
Andrés Giménez,665926,CLE,2023,24,616,0.297,0.245,97,2.2
CJ Abrams,682928,WSN,2023,22,614,0.304,0.247,90,1.7
Carlos Santana,467793,- - -,2023,37,619,0.308,0.24,101,1.3
Leody Taveras,665750,TEX,2023,24,554,0.319,0.27,98,1.1
Jeff McNeil,643446,NYM,2023,31,648,0.294,0.251,100,0.9
J.T. Realmuto,592663,PHI,2023,32,540,0.334,0.254,102,0.8
Alec Bohm,664761,PHI,2023,26,611,0.343,0.29,105,0.7
Ke'Bryan Hayes,663647,PIT,2023,26,525,0.324,0.273,101,0.6
J.D. Davis,605204,SFG,2023,30,546,0.323,0.244,104,0.5
Eugenio Suárez,553993,SEA,2023,31,694,0.324,0.223,102,-0.4
Teoscar Hernández,606192,SEA,2023,30,678,0.336,0.258,105,-0.6
Matt Vierling,663837,DET,2023,26,530,0.322,0.266,99,-1
Josh Bell,605137,- - -,2023,30,617,0.345,0.263,105,-1.1
Ty France,664034,SEA,2023,28,665,0.342,0.27,104,-1.5
Alex Verdugo,657077,BOS,2023,27,602,0.331,0.278,98,-1.9
Jeremy Peña,665161,HOU,2023,25,634,0.305,0.259,96,-2
Eddie Rosario,592696,ATL,2023,31,516,0.317,0.254,100,-2.1
Tommy Edman,669242,STL,2023,28,528,0.312,0.262,92,-2.2
Andrew Vaughn,683734,CHW,2023,25,615,0.319,0.252,103,-2.4
Jake Cronenworth,630105,SDP,2023,29,522,0.305,0.238,92,-2.7
Orlando Arcia,606115,ATL,2023,28,533,0.307,0.247,99,-2.9
Whit Merrifield,593160,TOR,2023,34,592,0.276,0.242,93,-3.5
DJ LeMahieu,518934,NYY,2023,34,562,0.322,0.255,101,-3.7
Trent Grisham,663757,SDP,2023,26,555,0.322,0.218,91,-4.9
MJ Melendez,669004,KCR,2023,24,602,0.325,0.235,92,-5.4
Carlos Correa,621043,MIN,2023,28,580,0.33,0.253,96,-5.5
Willy Adames,642715,MIL,2023,27,638,0.335,0.24,94,-6
Hunter Renfroe,592669,- - -,2023,31,548,0.289,0.225,92,-6.8
Amed Rosario,642708,- - -,2023,27,545,0.305,0.271,88,-7
Andrew Benintendi,643217,CHW,2023,28,621,0.31,0.27,87,-7.8
Anthony Volpe,683011,NYY,2023,22,601,0.305,0.23,84,-7.9
Daulton Varsho,662139,TOR,2023,26,581,0.302,0.232,85,-7.9
Maikel Garcia,672580,KCR,2023,23,515,0.319,0.274,84,-8.6
Joey Meneses,608841,WSN,2023,31,657,0.288,0.247,96,-8.8
Bryan De La Cruz,650559,MIA,2023,26,626,0.331,0.273,92,-10.2
Keibert Ruiz,660688,WSN,2023,24,562,0.322,0.274,93,-10.5
Zach McKinstry,656716,DET,2023,28,518,0.312,0.247,81,-10.7
José Abreu,547989,HOU,2023,36,594,0.314,0.248,86,-12.1
Tyler Stephenson,663886,CIN,2023,26,517,0.314,0.243,85,-12.2
Ryan McMahon,641857,COL,2023,28,627,0.335,0.245,88,-12.4
Dominic Smith,642086,WSN,2023,28,586,0.32,0.256,90,-13
Elias Díaz,553869,COL,2023,32,526,0.296,0.245,81,-14.4
Salvador Perez,521692,KCR,2023,33,580,0.325,0.266,86,-14.7
Myles Straw,664702,CLE,2023,28,518,0.272,0.239,69,-15.8
Jurickson Profar,595777,- - -,2023,30,521,0.306,0.247,76,-17.8
Enrique Hernández,571771,- - -,2023,31,508,0.272,0.224,72,-17.9
Javier Báez,595879,DET,2023,30,547,0.279,0.234,61,-23
Tim Anderson,641313,CHW,2023,30,524,0.279,0.252,60,-23.5
Ezequiel Tovar,678662,COL,2023,21,615,0.291,0.248,70,-23.5
